athlete_id,name,region,affiliate,gender,age,height,candj,snatch,deadlift,backsq,train,experience,howlong
TRWX76974329850170,Barbara White-Moore,South Central,Woodward CrossFit,Male,14.0-28.0,66.0-69.0,275.0-1936.0,239.84217183726767,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,2-4 years|
JLUE56615558549474,Mr Bruce Robinson,South West,CrossFit The Point,Male,28.0-31.0,66.0-69.0,209.60000000000002-240.0,175.03353712811523,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
NQYG13349964659748,Suzanne Williams,Mid Atlantic,CrossFit Kaiju,Male,34.0-40.0,70.0-72.0,275.0-1936.0,204.92741654300335,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
NNNF15989502537361,Dr Leon Cunningham,Mid Atlantic,CrossFit Fairfax,Male,40.0-56.0,72.0-8388607.0,175.0-209.60000000000002,154.82825388795706,375.0-419.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,4+ years|
CXWQ72236818352188,Mr Malcolm Welch,North Central,CrossFit Homer Glen,Male,28.0-31.0,70.0-72.0,275.0-1936.0,255.0197460126104,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
CROD49368805367849,Mr Terence James,North East,NorthEast CrossFit,Male,14.0-28.0,1.0-66.0,275.0-1936.0,254.97881464898853,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,4+ years|
SZCW12495363169195,Miss Chloe Hall,South West,CrossFit Sierra Nevada,Male,34.0-40.0,70.0-72.0,240.0-275.0,210.02490526588218,419.0-465.0,340.0-385.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,4+ years|
EUGD92544257566543,Mohamed Ball,Southern California,CrossFit Long Beach,Male,34.0-40.0,66.0-69.0,175.0-209.60000000000002,164.868948618931,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
EIXH11674668032194,Bradley Pickering,Europe,F4L CrossFit,Male,31.0-34.0,66.0-69.0,240.0-275.0,182.9985568716144,465.0-1936.0,340.0-385.0,"I workout mostly at home, work, or a traditional gym|",I began CrossFit by trying it alone (without a coach)|,1-2 years|
GRAN48396403448522,Grace Lee,North West,CrossFit Cottage Grove,Male,40.0-56.0,66.0-69.0,175.0-209.60000000000002,140.11615406547705,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,4+ years|
KNIR35039878941688,Miss Mary Todd,North Central,CrossFit 540 South,Male,14.0-28.0,70.0-72.0,275.0-1936.0,225.0190900808236,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,2-4 years|
FUQQ78341328903498,Ricky Sykes,Northern California,Contra Costa CrossFit,Male,34.0-40.0,1.0-66.0,209.60000000000002-240.0,170.1057362405644,419.0-465.0,340.0-385.0,I have a coach who determines my programming|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
XNHY73420000708903,Anna Ward,North Central,CrossFit Vise Downtown,Male,31.0-34.0,70.0-72.0,240.0-275.0,185.02279593489084,465.0-1936.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|,4+ years|
DGMB15773054793879,Mr Graeme Smith,Canada East,The CrossFit Side,Male,34.0-40.0,69.0-70.0,175.0-209.60000000000002,155.1109265441953,375.0-419.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
AXIC46473045816814,Helen Davis-Smith,South East,Gardens CrossFit,Male,34.0-40.0,72.0-8388607.0,240.0-275.0,240.11391208623095,465.0-1936.0,0.0-240.0,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
XCNE30006607920349,Joanne Murphy,Canada West,Rock Jungle CrossFit,Male,34.0-40.0,72.0-8388607.0,209.60000000000002-240.0,199.96336041994996,305.0-375.0,240.0-295.0,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
EZGH51445651062931,Mark Smith,Australia,CrossFit Rocks,Male,28.0-31.0,72.0-8388607.0,240.0-275.0,230.92203728276505,419.0-465.0,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,4+ years|
ZCSA96364498243897,Connor Gregory,North West,CrossFit X-Factor,Male,14.0-28.0,66.0-69.0,275.0-1936.0,255.1166087143149,,385.0-3450.0,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,2-4 years|
ZZEB86857967966748,Richard Pritchard,Canada East,CrossFit Moncton,Male,31.0-34.0,66.0-69.0,240.0-275.0,175.05331694503732,419.0-465.0,295.0-340.0,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,4+ years|
